Dataset Index,Execution,Algorithm Type,Radius,Silhouette,Rand Index,Duration
17,6,approx2_20,0.5477367315046864,0.4347843262495725,0.19730664981685586,0.006956815719604492
17,7,approx2_25,0.5477367315046864,0.4347843262495725,0.19730664981685586,0.007151603698730469
17,8,np,0.513899522365493,0.4745078097099718,0.20138797566853667,0.0038611888885498047
17,9,approx1,0.6339025831932696,0.45467780202183306,0.21197014211242976,0.03263044357299805
17,10,approx2_5,0.8763787704074981,0.41705222864634167,0.28501620745282946,0.003110647201538086
17,11,approx2_10,0.8763787704074981,0.41705222864634167,0.28501620745282946,0.0033462047576904297
17,12,approx2_15,0.6572840778056236,0.4574954921134876,0.23111386808014925,0.0049054622650146484
17,13,approx2_20,0.5477367315046864,0.4347843262495725,0.19730664981685586,0.006917476654052734
17,14,approx2_25,0.5477367315046864,0.4347843262495725,0.19730664981685586,0.007947921752929688
18,1,np,3.2357404821154288,0.3266367921675332,0.4765653100575218,0.0043506622314453125
18,2,approx1,3.4460789299094863,0.23737499393476094,0.49636028416952216,0.03176259994506836
18,3,approx2_5,6.408613377781304,0.7763736509472463,0.7120365929897008,0.0029382705688476562
18,4,approx2_10,3.204306688890652,0.2457306402445114,0.532292426537645,0.004486799240112305
18,5,approx2_15,3.204306688890652,0.2457306402445114,0.532292426537645,0.004487514495849609
18,6,approx2_20,3.204306688890652,0.2457306402445114,0.532292426537645,0.0047190189361572266
18,7,approx2_25,3.204306688890652,0.2457306402445114,0.532292426537645,0.006030082702636719
18,8,np,3.890558340864427,0.33347754547922887,0.46477226160022556,0.004366397857666016
18,9,approx1,3.4460789299094863,0.23737499393476094,0.49636028416952216,0.03316974639892578
18,10,approx2_5,6.408613377781304,0.7763736509472463,0.7120365929897008,0.0029397010803222656
18,11,approx2_10,3.204306688890652,0.2457306402445114,0.532292426537645,0.004470109939575195
18,12,approx2_15,3.204306688890652,0.2457306402445114,0.532292426537645,0.004607200622558594
18,13,approx2_20,3.204306688890652,0.2457306402445114,0.532292426537645,0.004766225814819336
18,14,approx2_25,3.204306688890652,0.2457306402445114,0.532292426537645,0.00706028938293457
19,1,np,0.43724448163439555,0.48558184300022866,0.19675802615115667,0.0041351318359375
19,2,approx1,0.5707532637669738,0.4029394561739159,0.2208318818969135,0.03481936454772949
19,3,approx2_5,0.8634802500357838,0.2877219906659153,0.30050138896734113,0.004277944564819336
19,4,approx2_10,0.8634802500357838,0.2877219906659153,0.30050138896734113,0.003265380859375
19,5,approx2_15,0.6476101875268379,0.3765702052956397,0.22861223563925315,0.005031108856201172
19,6,approx2_20,0.6476101875268379,0.3765702052956397,0.22861223563925315,0.00522303581237793
19,7,approx2_25,0.6476101875268379,0.3765702052956397,0.22861223563925315,0.006136417388916016
19,8,np,0.44025557153159767,0.48449324455295734,0.19549546018224861,0.003972291946411133
